hub_id,nama,lat,lng,kota,kecamatan
H01,Jne Gateway Surabaya,-7.403491922952985,112.72726689260232,Sidoarjo,Sedati
H02,Gudang JNE Kenjeran,-7.245077988330759,112.77238905212207,Surabaya,Bulak
H03,GATEWAY J&T CARGO SURABAYA,-7.223987001051273,112.65837958095747,Surabaya,Asemrowo
H04,Gateway Mini J&T Surabaya Barat,-7.2573051139933815,112.69338814802353,Surabaya,Sukomanunggal
H05,Gudang JNE,-7.944871271289585,112.6491572322834,Malang,Blimbing
H06,J&T Express DC_SDA,-7.386886483970375,112.75974713720552,Sidoarjo,Gedangan
H07,J&T Express DC_WARU,-7.359817805433899,112.73332419927166,Sidoarjo,Waru
H08,Pergudangan JNE,-7.40101590327616,112.72833310523083,Sidoarjo,Gedangan
H09,Gudang JNE Gresik,-7.174692031129388,112.6203216767191,Gresik,Kebomas
H10,Gateway J&T Cangkir,-7.364637647418484,112.6330348521241,Gresik,Driyorejo
H11,JNE Warehouse Mojokerto,-7.461744236774784,112.4563010674689,Mojokerto,Magersari
H12,J&T Express DC Majapahit,-7.4981787091498955,112.43974167892871,Mojokerto,Puri
H13,J&T DC 63 Exspansi,-7.299105,112.766903,Surabaya,Sukolilo
H14,J&T Express DC_GUBENG,-7.280145,112.755490,Surabaya,Gubeng
H15,DC_PAKAL J&T EXPRESS,-7.234190,112.617498,Surabaya,Pakal
H16,J&T EXPRESS DC_WIYUNG SUB31A,-7.313437,112.703277,Surabaya,Wiyung
H17,Gudang j&t,-7.361543,112.736021,Sidoarjo,Waru
H18,J&T EXPRESS DC_SUDARMO,-7.944200,112.643615,Malang,Blimbing
