No;Nama;Lat&Long;Maps;Kota;Kecamatan
1;Jne Gateway Surabaya;-7.403491922952985, 112.72726689260232;https://maps.app.goo.gl/5PCyK3VjWJY5R5go6;Sidoarjo;Sedati
2;Gudang JNE Kenjeran;-7.245077988330759, 112.77238905212207;https://maps.app.goo.gl/wHBLgPLdH8ESLaKn6;Surabaya;Bulak
3;GATEWAY J&T CARGO SURABAYA;-7.223987001051273, 112.65837958095747;https://maps.app.goo.gl/ayUcfAfa4vRwKSsLA;Surabaya;Asemrowo
4;Gateway Mini J&T Surabaya Barat;-7.2573051139933815, 112.69338814802353;https://maps.app.goo.gl/cVFftjNedG1obGUi8;Surabaya;Sukomanunggal
5;Gudang JNE;-7.944871271289585, 112.6491572322834;https://maps.app.goo.gl/bGdPr34Nxeji5uwt5;Malang;Blimbing
6;J&T Express DC_SDA;-7.386886483970375, 112.75974713720552;https://maps.app.goo.gl/jwWyGL7rUWRPtkz9A;Sidoarjo;Gedangan
7;J&T Express DC_WARU;-7.359817805433899, 112.73332419927166;https://maps.app.goo.gl/7qjFsEKypnG9m7JL9;Sidoarjo;Waru
8;Pergudangan JNE;-7.40101590327616, 112.72833310523083;https://maps.app.goo.gl/73fBuNKAbDVStLFC9;Sidoarjo;Gedangan
9;Gudang JNE Gresik;-7.174692031129388, 112.6203216767191;https://maps.app.goo.gl/rJ6Psa9VU5aFYEH67;Gresik;Kebomas
10;Gateway J&T Cangkir;-7.364637647418484, 112.6330348521241;https://maps.app.goo.gl/3sBGbBdeXt5KiFKG9;Gresik;Driyorejo
11;JNE Warehouse Mojokerto;-7.461744236774784, 112.4563010674689;https://maps.app.goo.gl/Xiz66DFgiERmEkQHA;Mojokerto;Magersari
12;J&T Express DC Majapahit;-7.4981787091498955, 112.43974167892871;https://maps.app.goo.gl/cA6ThUZ3PCbovQoUA;Mojokerto;Puri
13;J&T DC 63 Exspansi;-7.299105, 112.766903;https://maps.google.com/?cid=16424862306545819347;Surabaya;Sukolilo
14;J&T Express DC_GUBENG;-7.280145, 112.755490;https://maps.google.com/?cid=14081517683640262824;Surabaya;Gubeng
15;DC_PAKAL J&T EXPRESS;-7.234190, 112.617498;https://maps.google.com/?cid=5789593500845798680;Surabaya;Pakal
16;J&T EXPRESS DC_WIYUNG SUB31A;-7.313437, 112.703277;https://maps.google.com/?cid=3591873626415215299;Surabaya;Wiyung
17;Gudang j&t;-7.361543, 112.736021;https://maps.google.com/?cid=9468087573450948876;Sidoarjo;Waru
18;J&T EXPRESS DC_SUDARMO;-7.944200, 112.643615;https://maps.google.com/?cid=17791248754379727398;Malang;Blimbing
