package_id,hub_id,hub_nama,kota,kecamatan_tujuan,latitude,longitude,jarak_ke_hub_km
PKT-000001,H01,Jne Gateway Surabaya,Surabaya,Benowo,-7.2511947,112.6372816,19.628
PKT-000002,H01,Jne Gateway Surabaya,Surabaya,Rungkut,-7.3236598,112.76347,9.733
PKT-000003,H01,Jne Gateway Surabaya,Surabaya,Genteng,-7.2732173,112.7446461,14.612
PKT-000004,H01,Jne Gateway Surabaya,Surabaya,Sambikerep,-7.2662035,112.6551106,17.215
PKT-000005,H01,Jne Gateway Surabaya,Surabaya,Wonokromo,-7.3127698,112.7307259,10.095
PKT-000006,H01,Jne Gateway Surabaya,Surabaya,Wonocolo,-7.3256693,112.7257396,8.655
PKT-000007,H01,Jne Gateway Surabaya,Surabaya,Mulyorejo,-7.2723586,112.7860499,15.958
PKT-000008,H01,Jne Gateway Surabaya,Surabaya,Jambangan,-7.3028736,112.7142011,11.281
PKT-000009,H01,Jne Gateway Surabaya,Surabaya,Wonocolo,-7.3253773,112.7421257,8.839
PKT-000010,H01,Jne Gateway Surabaya,Surabaya,Asemrowo,-7.2431314,112.7022154,18.044
PKT-000011,H01,Jne Gateway Surabaya,Surabaya,Sukolilo,-7.3088754,112.7868432,12.404
PKT-000012,H01,Jne Gateway Surabaya,Surabaya,Gunung Anyar,-7.3555056,112.7552154,6.162
PKT-000013,H01,Jne Gateway Surabaya,Surabaya,Bulak,-7.2468291,112.7966524,19.027
PKT-000014,H01,Jne Gateway Surabaya,Surabaya,Bubutan,-7.2569792,112.7438966,16.394
PKT-000015,H01,Jne Gateway Surabaya,Surabaya,Tegalsari,-7.2925964,112.7168296,12.385
PKT-000016,H01,Jne Gateway Surabaya,Surabaya,Gunung Anyar,-7.3547842,112.7595837,6.483
PKT-000017,H01,Jne Gateway Surabaya,Surabaya,Sambikerep,-7.2849591,112.6363661,16.559
PKT-000018,H01,Jne Gateway Surabaya,Surabaya,Sukolilo,-7.2863855,112.7605991,13.531
PKT-000019,H01,Jne Gateway Surabaya,Surabaya,Sukomanunggal,-7.2718332,112.7099297,14.764
PKT-000020,H01,Jne Gateway Surabaya,Surabaya,Gunung Anyar,-7.3328884,112.7775845,9.614
PKT-000021,H01,Jne Gateway Surabaya,Surabaya,Pabean Cantian,-7.2193808,112.7603903,20.796
PKT-000022,H01,Jne Gateway Surabaya,Surabaya,Sawahan,-7.2543274,112.7239685,16.59
PKT-000023,H01,Jne Gateway Surabaya,Surabaya,Krembangan,-7.2392988,112.7242187,18.261
PKT-000024,H01,Jne Gateway Surabaya,Surabaya,Sukomanunggal,-7.2722587,112.7200697,14.614
PKT-000025,H01,Jne Gateway Surabaya,Surabaya,Wonocolo,-7.3336876,112.7314216,7.775
PKT-000026,H01,Jne Gateway Surabaya,Surabaya,Tegalsari,-7.2752994,112.7305828,14.259
PKT-000027,H01,Jne Gateway Surabaya,Surabaya,Tegalsari,-7.2657657,112.7366042,15.349
PKT-000028,H01,Jne Gateway Surabaya,Surabaya,Wiyung,-7.2879239,112.6983916,13.239
PKT-000029,H01,Jne Gateway Surabaya,Surabaya,Gubeng,-7.2709581,112.7487143,14.926
PKT-000030,H01,Jne Gateway Surabaya,Surabaya,Sawahan,-7.2936518,112.7168373,12.268
PKT-000031,H01,Jne Gateway Surabaya,Surabaya,Sawahan,-7.2781918,112.7190804,13.962
PKT-000032,H01,Jne Gateway Surabaya,Surabaya,Mulyorejo,-7.2638382,112.7684246,16.179
PKT-000033,H01,Jne Gateway Surabaya,Surabaya,Bulak,-7.2625413,112.7823765,16.81
PKT-000034,H01,Jne Gateway Surabaya,Surabaya,Sukomanunggal,-7.2601055,112.7039458,16.15
PKT-000035,H01,Jne Gateway Surabaya,Surabaya,Gayungan,-7.326625,112.7272961,8.547
PKT-000036,H01,Jne Gateway Surabaya,Surabaya,Sawahan,-7.259828,112.7317333,15.982
PKT-000037,H01,Jne Gateway Surabaya,Surabaya,Kenjeran,-7.2112608,112.7730273,21.963
PKT-000038,H01,Jne Gateway Surabaya,Surabaya,Tambaksari,-7.2817755,112.7619167,14.063
PKT-000039,H01,Jne Gateway Surabaya,Surabaya,Jambangan,-7.3075177,112.7070385,10.903
PKT-000040,H01,Jne Gateway Surabaya,Surabaya,Pakal,-7.2417307,112.5952547,23.141
PKT-000041,H01,Jne Gateway Surabaya,Surabaya,Wiyung,-7.310362,112.6772135,11.735
PKT-000042,H01,Jne Gateway Surabaya,Surabaya,Tandes,-7.2690635,112.6737016,16.073
PKT-000043,H01,Jne Gateway Surabaya,Surabaya,Simokerto,-7.2419083,112.7354581,17.99
PKT-000044,H01,Jne Gateway Surabaya,Surabaya,Wonokromo,-7.2996738,112.7257865,11.545
PKT-000045,H01,Jne Gateway Surabaya,Surabaya,Pakal,-7.2289107,112.6013356,23.869
PKT-000046,H01,Jne Gateway Surabaya,Surabaya,Sawahan,-7.2771004,112.7163417,14.106
PKT-000047,H01,Jne Gateway Surabaya,Surabaya,Gunung Anyar,-7.3374677,112.753557,7.893
PKT-000048,H01,Jne Gateway Surabaya,Surabaya,Gayungan,-7.3088522,112.7132938,10.636
PKT-000049,H01,Jne Gateway Surabaya,Surabaya,Kenjeran,-7.2228846,112.7706276,20.644
PKT-000050,H01,Jne Gateway Surabaya,Surabaya,Bubutan,-7.2432275,112.7254224,17.822
PKT-000051,H01,Jne Gateway Surabaya,Surabaya,Mulyorejo,-7.242934,112.7632789,18.29
PKT-000052,H01,Jne Gateway Surabaya,Surabaya,Sukolilo,-7.3032719,112.7577145,11.639
PKT-000053,H01,Jne Gateway Surabaya,Surabaya,Gayungan,-7.3379683,112.7243949,7.293
PKT-000054,H01,Jne Gateway Surabaya,Surabaya,Pabean Cantian,-7.2310698,112.7351959,19.192
PKT-000055,H01,Jne Gateway Surabaya,Surabaya,Wiyung,-7.3273636,112.6850945,9.658
PKT-000056,H01,Jne Gateway Surabaya,Surabaya,Simokerto,-7.2351834,112.7681806,19.251
PKT-000057,H01,Jne Gateway Surabaya,Surabaya,Bulak,-7.2478027,112.7778323,18.188
PKT-000058,H01,Jne Gateway Surabaya,Surabaya,Sukomanunggal,-7.2519633,112.6929379,17.269
PKT-000059,H01,Jne Gateway Surabaya,Surabaya,Tambaksari,-7.2407532,112.7600087,18.452
PKT-000060,H01,Jne Gateway Surabaya,Surabaya,Mulyorejo,-7.2616951,112.7936271,17.383
PKT-000061,H01,Jne Gateway Surabaya,Surabaya,Gubeng,-7.2929379,112.7506749,12.561
PKT-000062,H01,Jne Gateway Surabaya,Surabaya,Benowo,-7.2358073,112.6532652,20.354
PKT-000063,H01,Jne Gateway Surabaya,Surabaya,Mulyorejo,-7.2606818,112.7842898,17.08
PKT-000064,H01,Jne Gateway Surabaya,Surabaya,Dukuh Pakis,-7.2734281,112.6883782,15.085
PKT-000065,H01,Jne Gateway Surabaya,Surabaya,Pabean Cantian,-7.23097,112.7342366,19.199
PKT-000066,H01,Jne Gateway Surabaya,Surabaya,Bulak,-7.2269726,112.7890821,20.778
PKT-000067,H01,Jne Gateway Surabaya,Surabaya,Semampir,-7.2137502,112.7649471,21.504
PKT-000068,H01,Jne Gateway Surabaya,Surabaya,Karang Pilang,-7.3316684,112.7078462,8.269
PKT-000069,H01,Jne Gateway Surabaya,Surabaya,Karang Pilang,-7.3409474,112.7125044,7.143
PKT-000070,H01,Jne Gateway Surabaya,Surabaya,Jambangan,-7.3263567,112.6958696,9.25
PKT-000071,H01,Jne Gateway Surabaya,Surabaya,Sawahan,-7.2596224,112.7236469,16.003
PKT-000072,H01,Jne Gateway Surabaya,Surabaya,Dukuh Pakis,-7.2794605,112.6792602,14.773
PKT-000073,H01,Jne Gateway Surabaya,Surabaya,Asemrowo,-7.2486717,112.7169978,17.252
PKT-000074,H01,Jne Gateway Surabaya,Surabaya,Karang Pilang,-7.3283051,112.7148909,8.471
PKT-000075,H01,Jne Gateway Surabaya,Surabaya,Jambangan,-7.3128319,112.7074236,10.316
PKT-000076,H01,Jne Gateway Surabaya,Surabaya,Jambangan,-7.3207759,112.7091275,9.413
PKT-000077,H01,Jne Gateway Surabaya,Surabaya,Sawahan,-7.2470384,112.7166182,17.436
PKT-000078,H01,Jne Gateway Surabaya,Surabaya,Sukolilo,-7.2804593,112.7690265,14.435
PKT-000079,H01,Jne Gateway Surabaya,Surabaya,Lakarsantri,-7.3173492,112.668946,11.538
PKT-000080,H01,Jne Gateway Surabaya,Surabaya,Jambangan,-7.3273694,112.7157151,8.56
PKT-000081,H01,Jne Gateway Surabaya,Surabaya,Sukomanunggal,-7.2572712,112.6936162,16.677
PKT-000082,H01,Jne Gateway Surabaya,Surabaya,Bubutan,-7.2435122,112.7209097,17.803
PKT-000083,H01,Jne Gateway Surabaya,Surabaya,Karang Pilang,-7.3398483,112.6848939,8.48
PKT-000084,H01,Jne Gateway Surabaya,Surabaya,Tenggilis Mejoyo,-7.3378788,112.7515524,7.772
PKT-000085,H01,Jne Gateway Surabaya,Surabaya,Rungkut,-7.3191395,112.7887691,11.575
PKT-000086,H01,Jne Gateway Surabaya,Surabaya,Sambikerep,-7.2871521,112.646548,15.703
PKT-000087,H01,Jne Gateway Surabaya,Surabaya,Bulak,-7.2424384,112.7985978,19.56
PKT-000088,H01,Jne Gateway Surabaya,Surabaya,Semampir,-7.2372523,112.7512245,18.673
PKT-000089,H01,Jne Gateway Surabaya,Surabaya,Lakarsantri,-7.2931184,112.6663664,13.99
PKT-000090,H01,Jne Gateway Surabaya,Surabaya,Jambangan,-7.317881,112.7278925,9.52
PKT-000091,H01,Jne Gateway Surabaya,Surabaya,Pabean Cantian,-7.2087549,112.7237593,21.657
PKT-000092,H01,Jne Gateway Surabaya,Surabaya,Simokerto,-7.2318548,112.7483155,19.226
PKT-000093,H01,Jne Gateway Surabaya,Surabaya,Kenjeran,-7.2171471,112.769745,21.244
PKT-000094,H01,Jne Gateway Surabaya,Surabaya,Pabean Cantian,-7.2287735,112.72571,19.429
